Region,Lat,Long,Streams
Vietnam,21.75,105.373,19016783
Uruguay,-32.948,-56.249,1389239
United States,40.0792,-98.8164,1961042065
United Kingdom,52.289,-1.259,286929158
United Arab Emirates,23.9299,53.9031,3982419
Ukraine,49.364,32.132,113616
Turkey,39.144,34.188,9389248
Thailand,15.688,100.845,20462687
Taiwan,23.6091,120.8353,30357324
Switzerland,46.7794,8.0329,6100185
Sweden,66.2188,19,25906759
Spain,40.617,-3.388,19380540
South Korea,36.338,128.16,559558
South Africa,-31.7,23.441,5471534
Slovakia,48.8595,19.4434,1737676
Singapore,1.3389,103.8297,53644521
Saudi Arabia,24.191,44.32,1864995
Russia,64.736,104.062,563651
Romania,45.933,25.119,1682316
Portugal,40.957,-7.9373,7096685
Poland,52.442,19.72,11538943
Philippines,17.181,121.256,365567377
Peru,-12.664,-72.98,2954902
Paraguay,-23.266,-58.409,739452
Panama,8.348,-81.005,742324
Norway,61.3701,9.3031,24297342
Nicaragua,12.692,-85.03,179124
New Zealand,-42.558,172.377,30764981
Netherlands,52.1704,5.0102,29197826
Morocco,31.129,-7.355,104449
Mexico,22.925,-101.68,47602281
Malaysia,4.416,102.099,54887864
Luxembourg,49.671,6.113,19770
Lithuania,55.342,24.23,989082
Latvia,57.017,25.0173,917011
Japan,35.962,137.855,22040369
Italy,44.3713,11.1084,9875526
Israel,30.992,34.834,3217267
Ireland,53.214,-7.588,43089943
Indonesia,-0.739,114.045,79662925
India,22.741,78.236,51502323
Iceland,64.826,-18.417,652715
Hungary,47.174,19.618,4436590
Hong Kong,22.4114,114.0599,18407095
Honduras,14.881,-87.123,654844
Guatemala,15.124,-90.711,918962
Greece,39.787,21.617,2331358
Germany,51.3819,9.9877,59472753
France,46.656,2.543,8568321
Finland,62.716,26.192,8076570
Estonia,58.777,25.977,661361
El Salvador,13.848,-89.229,1085953
Egypt,26.16,28.742,249315
Ecuador,-1.151,-78.308,902714
Dominican Republic,19.01,-70.1685,556133
Denmark,56.113,9.096,9759119
Czech Republic,49.848,15.2812,5568197
Costa Rica,10.126,-84.075,2211830
Colombia,3.794,-73.606,4184760
Chile,-23.176,-69.201,4640814
Canada,59.2067,-111.1937,237381586
Bulgaria,42.625,24.521,393938
Brazil,-11.694,-48.978,79923097
Bolivia,-16.71,-65.183,436595
Belgium,50.6745,4.4588,13365019
Austria,47.65,14.705,6115968
Australia,-24.578,133.582,208072055
Argentina,-33.166,-64.31,13238248
